rank->dist;;;;;;;;;;;;;;;rank->meta;;;;;;;
;;Joao vaz;Leonardo;Pedro;Andr�;media;desvio-padrao;;;;;;;;;;Joao vaz;Leonardo;Pedro;Andr�;media;desvio padrao
MT0003949060;;4;4;4;5;4,5;0,433012702;;;;;;;;MT0010487769;;5;5;5;5;5;0
MT0004274911;;3;3;2;2;2,5;0,5;;;;;;;;MT0010489498;;5;5;5;4;4,5;0,433012702
MT0001515531;;1;2;2;2;1,5;0,433012702;;;;;;;;MT0033397838;;4;4;4;4;4;0
MT0003900455;;1;2;1;1;1;0,433012702;;;;;;;;MT0012331779;;5;5;5;5;5;0
MT0009897495;;2;2;2;1;1,5;0,433012702;;;;;;;;MT0002222957;;5;4;5;4;4,5;0,5
MT0000040632;;4;3;3;4;4;0,5;;;;;;;;MT0027048677;;5;5;5;5;5;0
MT0004032071;;3;3;3;3;3;0;;;;;;;;MT0000040632;;4;4;3;3;3,5;0,5
MT0005469880;;3;3;3;3;3;0;;;;;;;;MT0003949060;;4;3;4;4;4;0,433012702
MT0007043936;;1;2;2;2;1,5;0,433012702;;;;;;;;MT0008222676;;2;3;3;3;2,5;0,433012702
MT0034005433;;2;2;2;2;2;0;;;;;;;;MT0010979481;;1;1;1;1;1;0
MT0000218346;;2;2;2;1;1,5;0,433012702;;;;;;;;;;;;;;;
MT0008401073;;3;3;3;3;3;0;;;;;;;;;;;;;;;
MT0001624303;;2;2;1;1;1,5;0,5;;;;;;;;;;;;;;;
MT0002634024;;2;2;2;2;2;0;;;;;;;;;;;;;;;
MT0001942272;;1;1;1;1;1;0;;;;;;;;;;;;;;;
MT0005752234;;3;3;3;2;2,5;0,433012702;;;;;;;;;;;;;;;
