rank->dist;;;;;;;;;;;;;;;rank->meta;;;;;;;
;;Joao vaz;Leonardo;Pedro;André;media;desvio-padrao;;;;;;;;;;Joao vaz;Leonardo;Pedro;André;media;desvio padrao
MT0003949060;;4;;;;;;;;;;;;;MT0010487769;;5;;;;;
MT0004274911;;3;;;;;;;;;;;;;MT0010489498;;5;;;;;
MT0001515531;;1;;;;;;;;;;;;;MT0033397838;;4;;;;;
MT0003900455;;1;;;;;;;;;;;;;MT0012331779;;5;;;;;
MT0009897495;;2;;;;;;;;;;;;;MT0002222957;;5;;;;;
MT0000040632;;4;;;;;;;;;;;;;MT0027048677;;5;;;;;
MT0004032071;;3;;;;;;;;;;;;;MT0000040632;;4;;;;;
MT0005469880;;3;;;;;;;;;;;;;MT0003949060;;4;;;;;
MT0007043936;;1;;;;;;;;;;;;;MT0008222676;;2;;;;;
MT0034005433;;2;;;;;;;;;;;;;MT0010979481;;1;;;;;
MT0000218346;;2;;;;;;;;;;;;;;;;;;;;
MT0008401073;;3;;;;;;;;;;;;;;;;;;;;
MT0001624303;;2;;;;;;;;;;;;;;;;;;;;
MT0002634024;;2;;;;;;;;;;;;;;;;;;;;
MT0001942272;;1;;;;;;;;;;;;;;;;;;;;
MT0005752234;;3;;;;;;;;;;;;;;;;;;;;
